Weeklyearnings,female,age,agesquared,dropout,hsgrad,somecoll,collgrad,collplus
118.45,0,18,324,1,0,0,0,0
118.75,1,29,841,1,0,0,0,0
118.75,1,55,3025,0,0,1,0,0
118.8,1,47,2209,0,0,1,0,0
118.8,1,26,676,0,0,0,1,0
119,1,19,361,0,0,1,0,0
120,1,24,576,0,0,1,0,0
120,1,42,1764,0,0,1,0,0
120,1,23,529,0,1,0,0,0
120,1,37,1369,0,0,1,0,0
120,1,56,3136,0,1,0,0,0
120,1,48,2304,0,1,0,0,0
120,1,36,1296,0,1,0,0,0
120,1,18,324,1,0,0,0,0
120,1,24,576,0,0,1,0,0
120,1,25,625,1,0,0,0,0
120,1,34,1156,0,1,0,0,0
120,1,23,529,0,0,1,0,0
120,1,30,900,0,0,1,0,0
120,1,19,361,0,1,0,0,0
120,0,18,324,1,0,0,0,0
120,1,40,1600,0,0,1,0,0
120,0,18,324,0,1,0,0,0
120,1,21,441,0,0,1,0,0
120,0,19,361,0,0,1,0,0
120,1,23,529,0,0,1,0,0
120,0,31,961,0,0,0,1,0
120,1,20,400,0,0,1,0,0
120,1,19,361,0,0,1,0,0
120,1,24,576,0,0,0,1,0
120,1,54,2916,0,0,0,1,0
120,1,21,441,0,0,1,0,0
120,0,19,361,1,0,0,0,0
120,0,22,484,0,0,1,0,0
120,0,20,400,0,0,1,0,0
120,1,30,900,0,1,0,0,0
120,1,40,1600,0,1,0,0,0
120,0,24,576,0,0,1,0,0
120,0,18,324,1,0,0,0,0
120,1,53,2809,0,0,0,1,0
120,1,39,1521,0,1,0,0,0
120,1,60,3600,0,1,0,0,0
120,0,26,676,1,0,0,0,0
120,1,20,400,0,1,0,0,0
120,1,31,961,0,1,0,0,0
120,1,65,4225,1,0,0,0,0
120,0,21,441,0,1,0,0,0
120,0,21,441,0,0,1,0,0
120,1,32,1024,0,0,0,0,1
120,1,19,361,0,0,1,0,0
120.75,1,64,4096,0,1,0,0,0
121,1,20,400,1,0,0,0,0
121,1,20,400,0,0,1,0,0
